millis,stamp,datetime,light,temp,vcc
1000, 1273010254, 2010/5/4 21:57:34, 333, 78.32, 3.54
2000, 1273010255, 2010/5/4 21:57:35, 333, 78.32, 3.92
3000, 1273010256, 2010/5/4 21:57:36, 344, 78.32, 3.95
4000, 1273010257, 2010/5/4 21:57:37, 326, 78.32, 3.97
5000, 1273010258, 2010/5/4 21:57:38, 324, 78.32, 3.95
6000, 1273010259, 2010/5/4 21:57:39, 324, 78.32, 3.97
7000, 1273010260, 2010/5/4 21:57:40, 324, 78.32, 3.97
8000, 1273010261, 2010/5/4 21:57:41, 377, 78.32, 3.97
9000, 1273010262, 2010/5/4 21:57:42, 438, 78.32, 3.91
10000, 1273010263, 2010/5/4 21:57:43, 458, 78.32, 4.01
11000, 1273010264, 2010/5/4 21:57:44, 466, 78.32, 3.95
12000, 1273010265, 2010/5/4 21:57:45, 348, 78.32, 3.92
13000, 1273010266, 2010/5/4 21:57:46, 325, 78.32, 3.92
14000, 1273010267, 2010/5/4 21:57:47, 172, 78.32, 3.92
15000, 1273010268, 2010/5/4 21:57:48, 96, 78.32, 3.92
16000, 1273010269, 2010/5/4 21:57:49, 96, 78.32, 3.92
17000, 1273010270, 2010/5/4 21:57:50, 91, 78.32, 3.92
18000, 1273010271, 2010/5/4 21:57:51, 75, 78.32, 3.88
19000, 1273010272, 2010/5/4 21:57:52, 85, 78.32, 3.98
20000, 1273010273, 2010/5/4 21:57:53, 167, 78.32, 3.92
21000, 1273010274, 2010/5/4 21:57:54, 258, 78.32, 3.92
22000, 1273010275, 2010/5/4 21:57:55, 354, 78.32, 3.92
23000, 1273010276, 2010/5/4 21:57:56, 616, 78.32, 3.92
24000, 1273010277, 2010/5/4 21:57:57, 268, 77.74, 3.92
25000, 1273010278, 2010/5/4 21:57:58, 127, 77.74, 3.94
26000, 1273010279, 2010/5/4 21:57:59, 136, 77.74, 3.94
27000, 1273010280, 2010/5/4 21:58:0, 288, 77.74, 3.88
28000, 1273010281, 2010/5/4 21:58:1, 450, 77.74, 3.98
29000, 1273010282, 2010/5/4 21:58:2, 676, 77.74, 3.94
30000, 1273010283, 2010/5/4 21:58:3, 726, 77.74, 3.94
31000, 1273010284, 2010/5/4 21:58:4, 715, 77.74, 3.94
32000, 1273010285, 2010/5/4 21:58:5, 928, 77.74, 3.94
33000, 1273010286, 2010/5/4 21:58:6, 732, 77.74, 3.94
34000, 1273010287, 2010/5/4 21:58:7, 710, 77.16, 3.94
35000, 1273010288, 2010/5/4 21:58:8, 756, 77.16, 3.95
36000, 1273010289, 2010/5/4 21:58:9, 661, 77.16, 3.91
37000, 1273010290, 2010/5/4 21:58:10, 657, 76.58, 4.01
38000, 1273010291, 2010/5/4 21:58:11, 645, 76.00, 3.97
39000, 1273010292, 2010/5/4 21:58:12, 686, 76.00, 3.97
40000, 1273010293, 2010/5/4 21:58:13, 36, 75.42, 3.98
41000, 1273010294, 2010/5/4 21:58:14, 10, 75.42, 3.98
42000, 1273010295, 2010/5/4 21:58:15, 5, 75.42, 3.98
43000, 1273010296, 2010/5/4 21:58:16, 3, 75.42, 3.98
44000, 1273010297, 2010/5/4 21:58:17, 2, 75.42, 3.98
45000, 1273010298, 2010/5/4 21:58:18, 1, 74.84, 3.94
46000, 1273010299, 2010/5/4 21:58:19, 1, 74.84, 4.04
47000, 1273010300, 2010/5/4 21:58:20, 1, 74.84, 3.99
48000, 1273010301, 2010/5/4 21:58:21, 0, 74.84, 3.99
49000, 1273010302, 2010/5/4 21:58:22, 0, 74.26, 3.99
50000, 1273010303, 2010/5/4 21:58:23, 0, 74.26, 3.99
51000, 1273010304, 2010/5/4 21:58:24, 0, 74.26, 4.01
52000, 1273010305, 2010/5/4 21:58:25, 0, 73.68, 4.01
53000, 1273010306, 2010/5/4 21:58:26, 0, 73.68, 4.01
54000, 1273010307, 2010/5/4 21:58:27, 0, 73.10, 3.97
55000, 1273010308, 2010/5/4 21:58:28, 0, 73.10, 4.08
56000, 1273010309, 2010/5/4 21:58:29, 0, 73.10, 4.02
57000, 1273010310, 2010/5/4 21:58:30, 0, 73.10, 4.02
58000, 1273010311, 2010/5/4 21:58:31, 0, 73.10, 4.02
59000, 1273010312, 2010/5/4 21:58:32, 0, 72.52, 4.02
60000, 1273010313, 2010/5/4 21:58:33, 0, 72.52, 4.04
61000, 1273010314, 2010/5/4 21:58:34, 0, 72.52, 4.04
62000, 1273010315, 2010/5/4 21:58:35, 0, 71.94, 4.04
63000, 1273010316, 2010/5/4 21:58:36, 0, 71.94, 3.99
64000, 1273010317, 2010/5/4 21:58:37, 0, 71.36, 4.10
65000, 1273010318, 2010/5/4 21:58:38, 0, 71.36, 4.05
66000, 1273010319, 2010/5/4 21:58:39, 0, 71.36, 4.05
67000, 1273010320, 2010/5/4 21:58:40, 0, 71.36, 4.05
68000, 1273010321, 2010/5/4 21:58:41, 0, 70.78, 4.07
69000, 1273010322, 2010/5/4 21:58:42, 0, 70.78, 4.07
70000, 1273010323, 2010/5/4 21:58:43, 0, 70.78, 4.07
71000, 1273010324, 2010/5/4 21:58:44, 0, 70.20, 4.08
72000, 1273010325, 2010/5/4 21:58:45, 0, 70.20, 4.02
73000, 1273010326, 2010/5/4 21:58:46, 0, 70.20, 4.14
74000, 1273010327, 2010/5/4 21:58:47, 0, 70.20, 4.08
75000, 1273010328, 2010/5/4 21:58:48, 0, 70.20, 4.08
76000, 1273010329, 2010/5/4 21:58:49, 0, 69.62, 4.08
77000, 1273010330, 2010/5/4 21:58:50, 0, 69.62, 4.10
78000, 1273010331, 2010/5/4 21:58:51, 0, 69.62, 4.10
79000, 1273010332, 2010/5/4 21:58:52, 0, 69.62, 4.10
80000, 1273010333, 2010/5/4 21:58:53, 0, 69.62, 4.10
81000, 1273010334, 2010/5/4 21:58:54, 0, 69.62, 4.05
82000, 1273010335, 2010/5/4 21:58:55, 0, 69.04, 4.16
83000, 1273010336, 2010/5/4 21:58:56, 0, 69.04, 4.10
84000, 1273010337, 2010/5/4 21:58:57, 0, 69.04, 4.10
85000, 1273010338, 2010/5/4 21:58:58, 0, 69.04, 4.11
86000, 1273010339, 2010/5/4 21:58:59, 0, 68.46, 4.11
87000, 1273010340, 2010/5/4 21:59:0, 0, 68.46, 4.11
88000, 1273010341, 2010/5/4 21:59:1, 0, 68.46, 4.11
89000, 1273010342, 2010/5/4 21:59:2, 0, 68.46, 4.11
90000, 1273010343, 2010/5/4 21:59:3, 0, 68.46, 3.97
91000, 1273010344, 2010/5/4 21:59:4, 0, 68.46, 4.17
92000, 1273010345, 2010/5/4 21:59:5, 0, 68.46, 4.13
93000, 1273010346, 2010/5/4 21:59:6, 0, 67.88, 4.13
94000, 1273010347, 2010/5/4 21:59:7, 0, 67.88, 4.13
95000, 1273010348, 2010/5/4 21:59:8, 0, 67.88, 4.13
96000, 1273010349, 2010/5/4 21:59:9, 0, 67.88, 4.13
97000, 1273010350, 2010/5/4 21:59:10, 0, 67.88, 4.13
98000, 1273010351, 2010/5/4 21:59:11, 0, 67.88, 4.13
99000, 1273010352, 2010/5/4 21:59:12, 0, 67.88, 4.13
100000, 1273010353, 2010/5/4 21:59:13, 0, 67.30, 4.08
101000, 1273010354, 2010/5/4 21:59:14, 0, 67.30, 4.20
102000, 1273010355, 2010/5/4 21:59:15, 0, 67.30, 4.14
103000, 1273010356, 2010/5/4 21:59:16, 0, 67.30, 4.14
104000, 1273010357, 2010/5/4 21:59:17, 0, 67.30, 4.14
105000, 1273010358, 2010/5/4 21:59:18, 0, 67.30, 4.14
106000, 1273010359, 2010/5/4 21:59:19, 0, 67.30, 4.14
107000, 1273010360, 2010/5/4 21:59:20, 0, 66.72, 4.14
108000, 1273010361, 2010/5/4 21:59:21, 0, 66.72, 4.16
109000, 1273010362, 2010/5/4 21:59:22, 0, 66.72, 4.10
110000, 1273010363, 2010/5/4 21:59:23, 0, 66.72, 4.22
111000, 1273010364, 2010/5/4 21:59:24, 0, 66.72, 4.16
112000, 1273010365, 2010/5/4 21:59:25, 0, 66.72, 4.16
113000, 1273010366, 2010/5/4 21:59:26, 0, 66.72, 4.16
114000, 1273010367, 2010/5/4 21:59:27, 0, 66.14, 4.16
115000, 1273010368, 2010/5/4 21:59:28, 0, 66.14, 4.16
116000, 1273010369, 2010/5/4 21:59:29, 0, 66.14, 4.16
117000, 1273010370, 2010/5/4 21:59:30, 0, 66.14, 4.17
118000, 1273010371, 2010/5/4 21:59:31, 0, 66.14, 4.13
119000, 1273010372, 2010/5/4 21:59:32, 0, 65.56, 4.23
120000, 1273010373, 2010/5/4 21:59:33, 0, 65.56, 4.17
121000, 1273010374, 2010/5/4 21:59:34, 0, 65.56, 4.17
122000, 1273010375, 2010/5/4 21:59:35, 0, 65.56, 4.17
123000, 1273010376, 2010/5/4 21:59:36, 0, 65.56, 4.19
124000, 1273010377, 2010/5/4 21:59:37, 0, 64.98, 4.19
125000, 1273010378, 2010/5/4 21:59:38, 0, 64.98, 4.19
126000, 1273010379, 2010/5/4 21:59:39, 0, 64.98, 4.19
127000, 1273010380, 2010/5/4 21:59:40, 0, 64.98, 4.14
128000, 1273010381, 2010/5/4 21:59:41, 0, 64.40, 4.27
129000, 1273010382, 2010/5/4 21:59:42, 0, 64.40, 4.20
130000, 1273010383, 2010/5/4 21:59:43, 0, 64.40, 4.20
131000, 1273010384, 2010/5/4 21:59:44, 0, 64.40, 4.20
132000, 1273010385, 2010/5/4 21:59:45, 0, 64.40, 4.20
133000, 1273010386, 2010/5/4 21:59:46, 0, 64.40, 4.20
134000, 1273010387, 2010/5/4 21:59:47, 0, 64.40, 4.20
135000, 1273010388, 2010/5/4 21:59:48, 0, 64.40, 4.20
136000, 1273010389, 2010/5/4 21:59:49, 0, 64.40, 4.20
137000, 1273010390, 2010/5/4 21:59:50, 0, 64.40, 4.20
138000, 1273010391, 2010/5/4 21:59:51, 0, 64.40, 4.20
139000, 1273010392, 2010/5/4 21:59:52, 0, 63.82, 4.22
140000, 1273010393, 2010/5/4 21:59:53, 0, 63.82, 4.22
141000, 1273010394, 2010/5/4 21:59:54, 0, 63.82, 4.22
142001, 1273010395, 2010/5/4 21:59:55, 0, 63.82, 4.22
143000, 1273010396, 2010/5/4 21:59:56, 0, 63.82, 4.22
144000, 1273010397, 2010/5/4 21:59:57, 0, 63.82, 4.22
145000, 1273010398, 2010/5/4 21:59:58, 0, 63.82, 4.22
146000, 1273010399, 2010/5/4 21:59:59, 0, 63.82, 4.22
147000, 1273010400, 2010/5/4 22:0:0, 0, 63.24, 4.22
148000, 1273010401, 2010/5/4 22:0:1, 0, 63.24, 4.22
149000, 1273010402, 2010/5/4 22:0:2, 0, 63.24, 4.23
150000, 1273010403, 2010/5/4 22:0:3, 0, 63.24, 4.23
151000, 1273010404, 2010/5/4 22:0:4, 0, 63.24, 4.23
152000, 1273010405, 2010/5/4 22:0:5, 0, 63.24, 4.23
153000, 1273010406, 2010/5/4 22:0:6, 0, 62.66, 4.23
154000, 1273010407, 2010/5/4 22:0:7, 0, 62.66, 4.19
155000, 1273010408, 2010/5/4 22:0:8, 0, 62.66, 4.30
156000, 1273010409, 2010/5/4 22:0:9, 0, 62.66, 4.25
157000, 1273010410, 2010/5/4 22:0:10, 0, 62.66, 4.23
158000, 1273010411, 2010/5/4 22:0:11, 0, 62.66, 4.25
159000, 1273010412, 2010/5/4 22:0:12, 0, 62.66, 4.25
160000, 1273010413, 2010/5/4 22:0:13, 0, 62.66, 4.25
161000, 1273010414, 2010/5/4 22:0:14, 0, 62.66, 4.25
162000, 1273010415, 2010/5/4 22:0:15, 0, 62.66, 4.25
163000, 1273010416, 2010/5/4 22:0:16, 0, 62.66, 4.19
164000, 1273010417, 2010/5/4 22:0:17, 0, 62.08, 4.32
165000, 1273010418, 2010/5/4 22:0:18, 0, 62.08, 4.27
166000, 1273010419, 2010/5/4 22:0:19, 0, 62.08, 4.25
167000, 1273010420, 2010/5/4 22:0:20, 0, 62.08, 4.27
168000, 1273010421, 2010/5/4 22:0:21, 0, 62.08, 4.27
169000, 1273010422, 2010/5/4 22:0:22, 0, 62.08, 4.27
170000, 1273010423, 2010/5/4 22:0:23, 0, 62.08, 4.27
